model,fold,train_end,test_start,test_end,rows,mae,rmse,mape,smape
xgboost,1,2017-09-10,2017-09-11,2017-10-08,14000,6.336118325505938,8.242621725834741,0.12462288506290056,0.11939485176952586
xgboost,2,2017-10-08,2017-10-09,2017-11-05,14000,6.3173955913952415,8.189529470626681,0.12657255367261916,0.122829373327534
xgboost,3,2017-11-05,2017-11-06,2017-12-03,14000,6.470570827007294,8.416166082748303,0.12620279563119643,0.12204417452486656
