model,mae,rmse,mape,smape
hist_gradient_boosting,6.5555442397626225,8.502609417829877,0.11464143828291241,0.11128728166612671
xgboost,6.566386461957296,8.517973043957063,0.11490427538838206,0.11144469820108871
ridge,6.658029645954763,8.636433027514434,0.11618766946417554,0.11275515607676025
random_forest,6.670059945801046,8.65712908451022,0.11597209994409738,0.1128269010314969
moving_average_7,9.823609523809523,12.888989570722563,0.16644200687607436,0.15662853192436915
seasonal_naive_7,10.072503384078884,13.338401634591396,0.20799769051654488,0.19647701086971558
